,Confirmed Cases,Date,Country,Death
4/18/21,273802.0,4/18/21,India,1619.0
4/19/21,259167.0,4/19/21,India,1761.0
4/20/21,295158.0,4/20/21,India,2023.0
4/21/21,314644.0,4/21/21,India,2104.0
4/22/21,332921.0,4/22/21,India,2263.0
4/23/21,346786.0,4/23/21,India,2624.0
4/24/21,349691.0,4/24/21,India,2767.0
4/25/21,352991.0,4/25/21,India,2812.0
4/26/21,323023.0,4/26/21,India,2771.0
4/27/21,360927.0,4/27/21,India,3293.0
4/28/21,379308.0,4/28/21,India,3645.0
4/29/21,386555.0,4/29/21,India,3498.0
4/30/21,401993.0,4/30/21,India,3523.0
5/1/21,392488.0,5/1/21,India,3689.0
5/2/21,368060.0,5/2/21,India,3417.0
5/3/21,357316.0,5/3/21,India,3449.0
5/4/21,382146.0,5/4/21,India,3780.0
5/5/21,412431.0,5/5/21,India,3980.0
5/6/21,414188.0,5/6/21,India,3915.0
5/7/21,401078.0,5/7/21,India,4187.0
5/8/21,403405.0,5/8/21,India,4077.0
5/9/21,366494.0,5/9/21,India,3769.0
5/10/21,329942.0,5/10/21,India,3876.0
5/11/21,348421.0,5/11/21,India,4205.0
5/12/21,362727.0,5/12/21,India,4120.0
5/13/21,343144.0,5/13/21,India,4000.0
5/14/21,326098.0,5/14/21,India,3890.0
5/15/21,311170.0,5/15/21,India,4077.0
5/16/21,281386.0,5/16/21,India,4106.0
5/17/21,263533.0,5/17/21,India,4329.0
5/18/21,267334.0,5/18/21,India,4529.0
5/19/21,276110.0,5/19/21,India,3874.0
5/20/21,259551.0,5/20/21,India,4209.0
5/21/21,257299.0,5/21/21,India,4194.0
5/22/21,240842.0,5/22/21,India,3741.0
5/23/21,222315.0,5/23/21,India,4454.0
5/24/21,196427.0,5/24/21,India,3511.0
5/25/21,208921.0,5/25/21,India,4157.0
5/26/21,211298.0,5/26/21,India,3847.0
5/27/21,186364.0,5/27/21,India,3660.0
5/28/21,173790.0,5/28/21,India,3617.0
5/29/21,165553.0,5/29/21,India,3460.0
5/30/21,152734.0,5/30/21,India,3128.0
5/31/21,127510.0,5/31/21,India,2795.0
6/1/21,132788.0,6/1/21,India,3207.0
6/2/21,134154.0,6/2/21,India,2887.0
6/3/21,132364.0,6/3/21,India,2713.0
6/4/21,120529.0,6/4/21,India,3380.0
6/5/21,114460.0,6/5/21,India,2677.0
6/6/21,100636.0,6/6/21,India,2427.0
6/7/21,86498.0,6/7/21,India,2123.0
6/8/21,92596.0,6/8/21,India,2219.0
6/9/21,93463.0,6/9/21,India,2177.0
6/10/21,92291.0,6/10/21,India,7374.0
6/11/21,84332.0,6/11/21,India,4002.0
6/12/21,80834.0,6/12/21,India,3303.0
6/13/21,70421.0,6/13/21,India,3921.0
6/14/21,60471.0,6/14/21,India,2726.0
6/15/21,62224.0,6/15/21,India,2542.0
6/16/21,67208.0,6/16/21,India,2330.0
6/17/21,62480.0,6/17/21,India,1587.0
6/18/21,60753.0,6/18/21,India,1647.0
6/19/21,58226.0,6/19/21,India,1571.0
6/20/21,53449.0,6/20/21,India,1427.0
6/21/21,42640.0,6/21/21,India,1167.0
6/22/21,50848.0,6/22/21,India,1358.0
6/23/21,54069.0,6/23/21,India,1321.0
6/24/21,51667.0,6/24/21,India,1329.0
6/25/21,48698.0,6/25/21,India,1183.0
6/26/21,50040.0,6/26/21,India,1258.0
6/27/21,46148.0,6/27/21,India,979.0
6/28/21,37566.0,6/28/21,India,907.0
6/29/21,45951.0,6/29/21,India,817.0
6/30/21,48786.0,6/30/21,India,1005.0
7/1/21,46617.0,7/1/21,India,853.0
7/2/21,44111.0,7/2/21,India,738.0
7/3/21,43071.0,7/3/21,India,955.0
7/4/21,39796.0,7/4/21,India,723.0
7/5/21,34703.0,7/5/21,India,553.0
7/6/21,43733.0,7/6/21,India,930.0
7/7/21,45892.0,7/7/21,India,817.0
7/8/21,43393.0,7/8/21,India,911.0
7/9/21,42766.0,7/9/21,India,1206.0
7/10/21,41506.0,7/10/21,India,895.0
7/11/21,37154.0,7/11/21,India,724.0
7/12/21,32906.0,7/12/21,India,2020.0
7/13/21,38865.0,7/13/21,India,622.0
7/14/21,41733.0,7/14/21,India,583.0
7/15/21,38949.0,7/15/21,India,542.0
7/16/21,38079.0,7/16/21,India,560.0
7/17/21,41157.0,7/17/21,India,518.0
7/18/21,38164.0,7/18/21,India,499.0
7/19/21,30093.0,7/19/21,India,374.0
7/20/21,42015.0,7/20/21,India,3998.0
7/21/21,41383.0,7/21/21,India,507.0
7/22/21,35342.0,7/22/21,India,483.0
7/23/21,0.0,7/23/21,India,0.0
7/24/21,78839.0,7/24/21,India,1081.0
7/25/21,39361.0,7/25/21,India,416.0
7/26/21,29689.0,7/26/21,India,415.0
7/27/21,43654.0,7/27/21,India,640.0
7/28/21,43509.0,7/28/21,India,640.0
7/29/21,44230.0,7/29/21,India,555.0
7/30/21,41649.0,7/30/21,India,593.0
7/31/21,41831.0,7/31/21,India,541.0
8/1/21,40134.0,8/1/21,India,422.0
8/2/21,30549.0,8/2/21,India,422.0
8/3/21,42625.0,8/3/21,India,562.0
8/4/21,42982.0,8/4/21,India,533.0
8/5/21,44643.0,8/5/21,India,464.0
8/6/21,38628.0,8/6/21,India,617.0
8/7/21,39070.0,8/7/21,India,491.0
8/8/21,35499.0,8/8/21,India,447.0
8/9/21,28204.0,8/9/21,India,373.0
8/10/21,38353.0,8/10/21,India,497.0
8/11/21,41195.0,8/11/21,India,490.0
8/12/21,40120.0,8/12/21,India,585.0
8/13/21,38667.0,8/13/21,India,478.0
8/14/21,36083.0,8/14/21,India,493.0
8/15/21,32937.0,8/15/21,India,417.0
8/16/21,25166.0,8/16/21,India,437.0
8/17/21,35178.0,8/17/21,India,440.0
8/18/21,36401.0,8/18/21,India,530.0
8/19/21,36571.0,8/19/21,India,540.0
8/20/21,34457.0,8/20/21,India,375.0
8/21/21,30948.0,8/21/21,India,403.0
8/22/21,25072.0,8/22/21,India,389.0
8/23/21,25467.0,8/23/21,India,354.0
8/24/21,37593.0,8/24/21,India,648.0
8/25/21,46164.0,8/25/21,India,607.0
8/26/21,44658.0,8/26/21,India,496.0
8/27/21,46759.0,8/27/21,India,509.0
8/28/21,45083.0,8/28/21,India,460.0
8/29/21,42909.0,8/29/21,India,380.0
8/30/21,30941.0,8/30/21,India,350.0
8/31/21,41965.0,8/31/21,India,460.0
9/1/21,47092.0,9/1/21,India,509.0
9/2/21,45352.0,9/2/21,India,366.0
9/3/21,42618.0,9/3/21,India,330.0
9/4/21,42766.0,9/4/21,India,308.0
9/5/21,38948.0,9/5/21,India,219.0
9/6/21,31222.0,9/6/21,India,290.0
9/7/21,37875.0,9/7/21,India,369.0
9/8/21,43263.0,9/8/21,India,338.0
9/9/21,34973.0,9/9/21,India,260.0
9/10/21,33376.0,9/10/21,India,308.0
9/11/21,28591.0,9/11/21,India,338.0
9/12/21,27254.0,9/12/21,India,219.0
9/13/21,25404.0,9/13/21,India,339.0
9/14/21,27176.0,9/14/21,India,284.0
9/15/21,30570.0,9/15/21,India,431.0
9/16/21,34403.0,9/16/21,India,320.0
9/17/21,35662.0,9/17/21,India,281.0
9/18/21,30773.0,9/18/21,India,309.0
9/19/21,30256.0,9/19/21,India,295.0
9/20/21,26115.0,9/20/21,India,252.0
9/21/21,26964.0,9/21/21,India,383.0
9/22/21,31923.0,9/22/21,India,282.0
9/23/21,31382.0,9/23/21,India,318.0
9/24/21,29616.0,9/24/21,India,290.0
9/25/21,28326.0,9/25/21,India,260.0
9/26/21,26041.0,9/26/21,India,276.0
9/27/21,18795.0,9/27/21,India,179.0
9/28/21,18870.0,9/28/21,India,378.0
9/29/21,23529.0,9/29/21,India,311.0
9/30/21,26727.0,9/30/21,India,277.0
10/1/21,24354.0,10/1/21,India,234.0
10/2/21,22842.0,10/2/21,India,244.0
10/3/21,20799.0,10/3/21,India,180.0
10/4/21,18346.0,10/4/21,India,263.0
10/5/21,18833.0,10/5/21,India,278.0
10/6/21,22431.0,10/6/21,India,318.0
10/7/21,21257.0,10/7/21,India,271.0
10/8/21,19740.0,10/8/21,India,248.0
10/9/21,18166.0,10/9/21,India,214.0
10/10/21,18132.0,10/10/21,India,193.0
10/11/21,14313.0,10/11/21,India,181.0
10/12/21,15823.0,10/12/21,India,226.0
10/13/21,18987.0,10/13/21,India,246.0
10/14/21,16862.0,10/14/21,India,379.0
10/15/21,15981.0,10/15/21,India,166.0
10/16/21,14146.0,10/16/21,India,144.0
10/17/21,13596.0,10/17/21,India,166.0
10/18/21,13058.0,10/18/21,India,164.0
10/19/21,14623.0,10/19/21,India,197.0
10/20/21,18454.0,10/20/21,India,160.0
10/21/21,15786.0,10/21/21,India,231.0
10/22/21,16326.0,10/22/21,India,666.0
10/23/21,15906.0,10/23/21,India,561.0
10/24/21,14306.0,10/24/21,India,443.0
10/25/21,12428.0,10/25/21,India,356.0
10/26/21,13451.0,10/26/21,India,585.0
10/27/21,16156.0,10/27/21,India,733.0
10/28/21,14348.0,10/28/21,India,805.0
10/29/21,14313.0,10/29/21,India,549.0
10/30/21,12830.0,10/30/21,India,446.0
10/31/21,12514.0,10/31/21,India,251.0
11/1/21,10423.0,11/1/21,India,443.0
11/2/21,11903.0,11/2/21,India,311.0
11/3/21,12885.0,11/3/21,India,461.0
11/4/21,12729.0,11/4/21,India,221.0
11/5/21,10929.0,11/5/21,India,392.0
11/6/21,10826.0,11/6/21,India,526.0
11/7/21,11478.0,11/7/21,India,266.0
11/8/21,10126.0,11/8/21,India,332.0
11/9/21,11466.0,11/9/21,India,460.0
11/10/21,13091.0,11/10/21,India,340.0
11/11/21,12516.0,11/11/21,India,501.0
11/12/21,11850.0,11/12/21,India,555.0
11/13/21,11271.0,11/13/21,India,285.0
11/14/21,10229.0,11/14/21,India,125.0
11/15/21,8865.0,11/15/21,India,197.0
11/16/21,10197.0,11/16/21,India,301.0
11/17/21,11919.0,11/17/21,India,470.0
11/18/21,11106.0,11/18/21,India,459.0
